favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,sentiment
63,Twitter Web Client,1/2 Today I presented the FY19 budget which shows a reduction of $100M from the previously proposed FY19 budget. Th… https://t.co/8aCdU4IkNE,,FALSE,Tue Jan 09 16:08:54 +0000 2018,11,9.50761E+17,neg
6,Twitter Web Client,"If you live in Conway, don't miss today's town hall meeting at 11:30am. I hope to see you there! #arpx
More info:… https://t.co/pme4J5uy3d",,FALSE,Mon Oct 15 14:31:59 +0000 2018,2,1.05184E+18,neg
48,Twitter Web Client,"The General Assembly has not passed a bill to authorize such a statue on the Capitol grounds, nor is there any supp… https://t.co/UztLvpskbf",AsaHutchinson,FALSE,Fri Aug 24 20:39:23 +0000 2018,16,1.03309E+18,neg
79,Twitter for iPhone,Morsie Eagles hired on at @KARK4News 50 years ago today. He began in maintenance &amp; worked his way up to Floor Direc… https://t.co/idIZU4a0mm,,FALSE,Tue Jun 19 23:00:11 +0000 2018,22,1.00921E+18,neg
24,Twitter Web Client,LIVE: Governor attends the grand opening of state’s 1st Crisis Stabilization Unit in Fort Smith. With the opening o… https://t.co/qcswl3aH3S,,FALSE,Wed Feb 28 16:12:53 +0000 2018,11,9.68882E+17,neg
79,Twitter Web Client,"Today, I spoke to 30 new officers as they graduated from the Arkansas Law Enforcement Training Academy. Congratulat… https://t.co/HUAjrErIbH",,FALSE,Fri Jul 27 21:21:03 +0000 2018,14,1.02296E+18,neg
11,Twitter for iPhone,LIVE: Governor Hutchinson addresses Joint Budget Committee at Pre-Fiscal Session Budget Hearings: https://t.co/PMJAO4SSRV #arpx #arleg,,FALSE,Tue Jan 09 15:00:29 +0000 2018,17,9.50744E+17,neg
75,Twitter for iPhone,This is a very sad day with the loss of my friend Don Zimmerman.  He mentored so many mayors through the years incl… https://t.co/CxCkHdeooe,,FALSE,Mon Jun 25 02:59:06 +0000 2018,15,1.01108E+18,neg
18,Twitter Web Client,Great story from today’s paper. Another example of how the Arkansas Department of Veterans Affairs is working hard… https://t.co/vZhycYt5Tt,,FALSE,Tue Dec 19 22:10:33 +0000 2017,4,9.43242E+17,neg
46,Twitter for iPhone,"Honored to meet Danyell Longstreet at today’s White Co. Law Enforcement Memorial. At 13, she lost her father, Offic… https://t.co/uJGlmHFhRa",,FALSE,Wed May 16 20:06:32 +0000 2018,2,9.96844E+17,neg
137,Twitter for iPhone,Walmart’s quick reaction to the new law is exactly the response we expected under the tax cut. I'm proud that Arkan… https://t.co/mr1pW1tZQq,,FALSE,Thu Jan 11 20:47:43 +0000 2018,33,9.51556E+17,neg
52,Twitter for iPhone,"Today,  I sent a letter to PSC Chairman Thomas requesting the commission, as expeditiously as possible, take whatev… https://t.co/JY2artZHk5",,FALSE,Thu Jan 11 20:04:43 +0000 2018,21,9.51545E+17,neg
42,Twitter for iPhone,Pleased to Announce Coding Academy Scholarships for Adults and Updates Enrollment Numbers for Computer Science Init… https://t.co/pGkBxKVjML,,FALSE,Wed Dec 06 19:32:50 +0000 2017,14,9.38491E+17,neg
12,Twitter for iPhone,LIVE: Governor Hutchinson announces the appointment of a new member to the Arkansas Game and Fish Commission. https://t.co/PMJAO4SSRV,,FALSE,Mon Jul 02 14:06:43 +0000 2018,5,1.01379E+18,neg
26,Twitter for iPhone,"LIVE: Governor Hutchinson and @IBM host an event with leaders from Arkansas business, government, agriculture and e… https://t.co/EPxiv5lQGt",,FALSE,Wed Jun 27 14:04:35 +0000 2018,8,1.01197E+18,neg
2,Twitter for iPhone,@MollzFlem @MikeBeebeAR Sorry I missed you.   I enjoyed cheering on the runners.,MollzFlem,FALSE,Mon Mar 05 12:57:19 +0000 2018,0,9.70644E+17,neg
126,Twitter Web Client,Today is an extraordinary chapter in America’s long-time friendship with Israel. I applaud @realDonaldTrump for kee… https://t.co/wKxyb5CM8F,,FALSE,Mon May 14 19:58:06 +0000 2018,24,9.96117E+17,neg
40,Twitter for iPhone,It was great to be w/the 188th Wing of the Arkansas National Guard today in Ft . Smith  They have an essential miss… https://t.co/4k0tjGzNrj,,FALSE,Sat Apr 07 22:28:37 +0000 2018,10,9.82747E+17,neg
95,Twitter Web Client,"Due to inclement weather, state offices in weather-affected areas will be closed today for non-essential personnel.… https://t.co/5odpGgmMFd",,FALSE,Tue Jan 16 11:35:18 +0000 2018,95,9.53229E+17,neg
34,Twitter Web Client,ICYMI: I was honored to deliver the State of the State Address on Monday to kick off the 2018 Fiscal Session. I loo… https://t.co/LaS6627nNX,,FALSE,Thu Feb 15 16:16:55 +0000 2018,5,9.64172E+17,neg
17,Twitter for iPhone,LIVE at 11:30a: Governor Hutchinson Presents Comprehensive Plan for the Transformation of State Government… https://t.co/dD5SK9W00J,,FALSE,Wed Oct 03 16:01:48 +0000 2018,10,1.04752E+18,neg
29,Twitter Web Client,"While I've known &amp; respected the Files family for many years, it's essential that voters are able to trust elected… https://t.co/p3w0SJWIsW",,FALSE,Mon Jan 29 22:28:25 +0000 2018,17,9.58105E+17,neg
2,Twitter for iPhone,"@KATVJason @ARStatePolice Thanks, @KATVJason. (1/2) I have received reports from Dir. Kelley &amp; Col. Bryant about th… https://t.co/xnVz46shcz",KATVJason,FALSE,Wed Aug 29 21:42:47 +0000 2018,2,1.03492E+18,neg
6,Twitter Web Client,LIVE: Governor Hutchinson holds a pen and pad session to announce new Medicaid numbers and their impact on the curr… https://t.co/jXj6agfdaZ,,FALSE,Thu Jan 04 19:07:34 +0000 2018,2,9.48994E+17,neg
77,Twitter for iPhone,Pulling for my former boss and friend Tom Ridge who is in hospital in Austin.   The Vietnam veteran is a gentle soul but tough as they come.,,FALSE,Thu Nov 16 22:07:02 +0000 2017,11,9.31282E+17,neg
56,Twitter Web Client,"If all states had followed our example, the states and federal governments would have saved $46 billion compared to… https://t.co/2jJ48OZB5U",,FALSE,Tue Jul 31 21:54:42 +0000 2018,15,1.02441E+18,neg
39,Twitter Web Client,Last stop on my coding tour today was @MenaHighSchool! Amazing job with their high school robotics and middle schoo… https://t.co/6E32j1kdKX,,FALSE,Tue Apr 10 21:21:38 +0000 2018,12,9.83817E+17,neg
38,Twitter Web Client,My office and our emergency management team are assessing the damage to St. Francis County from severe weather over… https://t.co/GDcZafVbqo,,FALSE,Tue Jun 05 17:29:20 +0000 2018,10,1.00405E+18,neg
49,Twitter for iPhone,"Once again AR is leading the U.S.

@newsmax: Arkansas Ahead of Curve as #CyberSecurity Training Ground: 

""The Natu… https://t.co/aXexYoxDuc",,FALSE,Wed Feb 14 16:15:22 +0000 2018,20,9.63809E+17,neg
30,Twitter Web Client,Special congratulations to the graduating class of The Arkansas Law Enforcement Training Academy. The duty you are… https://t.co/ZVoGy4TfY8,,FALSE,Fri Apr 13 19:11:06 +0000 2018,6,9.84872E+17,neg
14,Twitter Web Client,I will host two town hall meetings on Tuesday: noon at The Blue Lion at @UAFS Downtown in Fort Smith &amp; 5:30 p.m. at… https://t.co/AALyBMIe0z,,FALSE,Mon Oct 29 20:31:48 +0000 2018,5,1.05701E+18,neg
13,Twitter for iPhone,@johnbrummett One could argue that due process is something a poor person and even a Republican should receive.  Th… https://t.co/PIaDFd8xps,johnbrummett,FALSE,Sat Jun 30 03:11:08 +0000 2018,2,1.0129E+18,neg
153,Twitter for iPhone,It is heart breaking that any synagogue is targeted for an act of violence.  The attack on the  Tree of Life Congre… https://t.co/T00PwVVbdb,,FALSE,Sat Oct 27 20:41:02 +0000 2018,24,1.05628E+18,neg
321,Twitter for iPhone,I'm betting on the Hogs! I've made a friendly wager with @OregonGovBrown for the #CWS Championship. When… https://t.co/HGWzP0u9ug,,FALSE,Mon Jun 25 23:09:12 +0000 2018,71,1.01139E+18,neg
74,Twitter for iPhone,"Great to be in Blytheville to celebrate Miss. Co.’s ACT Work Ready Certification, the 1st in AR. Good example of bu… https://t.co/DyQc8MV5aU",,FALSE,Wed Jan 31 19:19:22 +0000 2018,35,9.58782E+17,neg
49,Twitter Web Client,"At @Honda in Japan today, @mikepreston83 &amp; I met ASIMO, the most advanced humanoid robot in the world. https://t.co/smeyrg9GRI",,FALSE,Mon Nov 06 22:37:12 +0000 2017,7,9.27666E+17,neg
44,Twitter for iPhone,I’m watching the Super Bowl tonight—then kicking off Monday morning EARLY (5:40a CT) on @FoxandFriends. If you’re u… https://t.co/e1SYSzT127,,FALSE,Sun Feb 04 23:23:05 +0000 2018,9,9.60293E+17,neg
163,Twitter Web Client,It is not an exaggeration to say that Billy Graham was a giant among leaders. But even as Dr. Graham counseled pres… https://t.co/WbtUtC3nMl,,FALSE,Wed Feb 21 16:00:32 +0000 2018,36,9.66342E+17,neg
49,Twitter Web Client,"Rex Roark spent 30 years as a Navy SEABEE. He served 1 tour of duty in Korea, 3 in Vietnam. Back home, he was a lon… https://t.co/BUHO7unFDr",,FALSE,Tue Jul 17 20:16:36 +0000 2018,6,1.01931E+18,neg
49,Twitter Web Client,The 14 regional finalists for 2019 Teacher of the Year were our guests at the Mansion. They were honored for their… https://t.co/B6FdKa9DUQ,,FALSE,Fri Aug 17 14:41:40 +0000 2018,14,1.03046E+18,neg
60,Twitter Web Client,I’m pleased to announce by proclamation National Police Week. Thank you to the brave men and women that put their l… https://t.co/XVM2TrbrXj,,FALSE,Wed May 16 15:42:34 +0000 2018,23,9.96778E+17,neg
23,Twitter Web Client,"I will be hosting two town hall meetings next week -- Springdale on Tuesday, El Dorado on Wednesday. I'll answer qu… https://t.co/SrYTPA2dUf",,FALSE,Thu May 03 20:48:49 +0000 2018,13,9.92144E+17,neg
180,Twitter for iPhone,"After last night’s 5th inning, I can’t wait to see what happens tonight. The Diamond Hogs are only one win away fro… https://t.co/ClOwRpjYGw",,FALSE,Wed Jun 27 21:31:31 +0000 2018,30,1.01209E+18,neg
41,Twitter Web Client,"LIVE: Governor Hutchinson announces the launch of new online services to be offered by State Revenue Offices, makin… https://t.co/FJAn44FucI",,FALSE,Fri Mar 30 15:31:07 +0000 2018,15,9.79743E+17,neg
0,Twitter for iPhone,@_ARHoops @uGonnaGetMurked @ARHoops Got it.,_ARHoops,FALSE,Fri Nov 24 02:30:14 +0000 2017,2,9.33885E+17,neg
14,Twitter for iPhone,I will be hosting a town hall meeting in El Dorado at noon today to discuss my efforts to transform and reorganize… https://t.co/q56RbWb4xp,,FALSE,Wed May 09 14:27:41 +0000 2018,2,9.94222E+17,neg
29,Twitter Web Client,"Honored to celebrate #TaxFreedomDay w/ @AFPArkansas! As Governor, we’ve cut the income tax rate by $150M &amp; eliminat… https://t.co/IyVNEYy08n",,FALSE,Fri Apr 13 20:21:39 +0000 2018,10,9.84889E+17,neg
95,Twitter for iPhone,It is pretty special to add a new tradition for our Christmas Eve family gathering.  I am an amateur with the Piñat… https://t.co/GmSnkkv4BH,,FALSE,Mon Dec 25 03:14:16 +0000 2017,6,9.45131E+17,neg
171,Twitter Web Client,"Today, I'm pleased to announce that Arkansas will open a 3rd crime lab next year, which will reduce the backlog of… https://t.co/ZrjdFsCCSC",,FALSE,Fri Jul 27 15:15:06 +0000 2018,39,1.02286E+18,neg
44,Twitter for iPhone,"1/2 When it comes to our balance of trade, President Trump is right in putting pressure on our allies to respect th… https://t.co/lO6KcVlvEj",,FALSE,Fri Jun 01 23:06:49 +0000 2018,15,1.00269E+18,neg
10,Twitter for iPhone,LIVE: The Arkansas School Safety Commission presents its preliminary report to Governor Hutchinson. https://t.co/PMJAO4SSRV #arpx #arleg,,FALSE,Tue Jul 03 16:26:31 +0000 2018,3,1.01418E+18,neg
102,Twitter for iPhone,Moving ceremony at Capitol Rotunda as Gold Star families read the names of the fallen Arkansas warriors who gave th… https://t.co/qDIDJ7A23A,,FALSE,Sun Mar 18 20:11:34 +0000 2018,26,9.75465E+17,neg
5,Twitter Web Client,LIVE now: https://t.co/YEfNb11bUu https://t.co/fDtxORHEQ3,,FALSE,Wed Dec 27 15:58:15 +0000 2017,1,9.46048E+17,neg
73,Twitter Web Client,"To further the higher education goal of student affordability, I sent a letter today requesting all of our public u… https://t.co/I4c3SbO4eD",,FALSE,Tue Jan 09 19:10:22 +0000 2018,26,9.50807E+17,neg
0,Twitter for iPhone,@BReinhart10 I listened again to the broadcast and that is not a fair reflection on my comments.,BReinhart10,FALSE,Sun Feb 11 22:43:04 +0000 2018,0,9.62819E+17,neg
39,Twitter for iPhone,I sat down with @margbrennan on @FaceTheNation this morning to discuss the importance of school security in Arkansa… https://t.co/I4grkVLK9J,,FALSE,Sun Feb 25 22:29:09 +0000 2018,14,9.67889E+17,neg
125,Twitter for iPhone,Mountainburg and parts of South Arkansas were hit hard last night. My emergency management team and local first res… https://t.co/4ADgHlCAfD,,FALSE,Sat Apr 14 13:56:21 +0000 2018,39,9.85155E+17,neg
66,Twitter Web Client,"After 26 years in the Air Force, Col. Mike Kirby retired &amp; chose to start a business in Arkansas because of the str… https://t.co/BjPQf1iciO",,FALSE,Tue Feb 06 22:19:57 +0000 2018,16,9.61002E+17,neg
33,Twitter Web Client,"After the LR nightclub shooting, I convened fed, state &amp; local law enforcement agencies to announce the creation of… https://t.co/AMvBoqBvtZ",,FALSE,Thu Feb 22 22:49:38 +0000 2018,11,9.66807E+17,neg
14,Twitter Web Client,"ICYMI: My interview talking tax cuts, economy and trade with @DavidWestin and @SheryAhnNews on @BloombergTV. #arleg… https://t.co/TuOxMQYDSq",,FALSE,Wed Feb 07 20:18:51 +0000 2018,7,9.61333E+17,neg
66,Twitter Web Client,Pleased to discuss on @FoxNewsOpinion how Arkansas has become a national leader in reducing the load on the crimina… https://t.co/iCCmbKWPE9,,FALSE,Wed Aug 22 20:22:29 +0000 2018,29,1.03236E+18,neg
34,Twitter Web Client,In case you missed it: Watch the video below as we say goodbye to 2017. Together we worked for a year of tax cuts a… https://t.co/SBVFX3Uf7j,,FALSE,Tue Jan 02 20:10:52 +0000 2018,2,9.48285E+17,neg
29,Twitter Web Client,"Today I toured the soon-to-open Pulaski County Crisis Stabilization Unit, the state's second. The CSU will provide… https://t.co/CQGjfaaAB1",,FALSE,Fri Jul 06 19:00:56 +0000 2018,6,1.01531E+18,neg
13,Twitter Web Client,LIVE: Governor Hutchinson holds a news conference to announce the launch of a prescriber education portal and to hi… https://t.co/zZUBazrF5E,,FALSE,Mon Apr 30 15:03:05 +0000 2018,8,9.9097E+17,neg
65,Twitter for iPhone,Watch the video below as we say goodbye to 2017. Together we worked for a year of tax cuts and job creation. Now fo… https://t.co/3oyGybAiNF,,FALSE,Sun Dec 31 22:48:25 +0000 2017,24,9.476E+17,neg
16,Twitter for iPhone,LIVE: Governor Hutchinson Makes Announcement Regarding Arkansas Business Environment https://t.co/P49awnQIqZ #arpx #arleg,,FALSE,Mon Mar 26 17:17:36 +0000 2018,9,9.7832E+17,neg
12,Twitter for iPhone,I'll be on @RedStateTalk at 7:32a CT with host Scott Adams. You can listen LIVE here &gt;&gt; https://t.co/C9LAH7XRZP | #arpx #arleg,,FALSE,Mon Feb 05 12:55:41 +0000 2018,9,9.60497E+17,neg
59,Twitter Web Client,"Pleased to kick off #CSEdWeek by announcing the Arkansas CS K-8 Lead Teacher Stipend Program, another first in comp… https://t.co/whSVWERZl8",,FALSE,Mon Dec 04 19:36:58 +0000 2017,30,9.37768E+17,neg
57,Twitter Web Client,Another Arkansas company is benefiting from the federal Tax Cuts &amp; Jobs Act. Tyson Foods reported record earnings p… https://t.co/39AD3ON4rw,,FALSE,Thu Feb 08 21:56:52 +0000 2018,23,9.61721E+17,neg
9,Twitter for iPhone,@Scottz281 Not sure what you are talking about since there are no services being taken away from children.,Scottz281,FALSE,Sun Sep 02 19:01:30 +0000 2018,0,1.03633E+18,neg
26,Twitter Web Client,I kicked off my morning by addressing the packed house at the @uawaltoncollege health and business symposium and co… https://t.co/1tIxJU4YYs,,FALSE,Wed May 30 15:31:59 +0000 2018,2,1.00185E+18,neg
19,Twitter for iPhone,"From Leachville to Stuttgart to Dover, I'm pleased to tap into the expertise of Arkansans across the state for thes… https://t.co/Z9pu61MmjF",,FALSE,Tue Jul 10 16:00:35 +0000 2018,4,1.01671E+18,neg
249,Twitter Web Client,Stopped for lunch at Minute Man in El Dorado. It's the only one left and it's a must stop when in the area! Linda M… https://t.co/Qv18dfBl9W,,FALSE,Wed May 09 21:08:46 +0000 2018,32,9.94323E+17,neg
16,Twitter Web Client,Today I was delighted to spend some time with members of the Fort Smith Regional Chamber to talk about everything f… https://t.co/07jvnvAGp5,,FALSE,Thu Oct 25 21:06:13 +0000 2018,3,1.05557E+18,neg
17,Twitter Web Client,"LIVE: Governor Hutchinson addresses more than 1,200 veterans at the Vietnam Veterans Commemoration Ceremony in Litt… https://t.co/qCcNb13Ryh",,FALSE,Thu Mar 29 15:03:12 +0000 2018,3,9.79373E+17,neg
10,Twitter Web Client,LIVE ON FACEBOOK: Governor Hutchinson attends and makes an announcement at the Tobacco Settlement Commission Quarte… https://t.co/ujHRdr66B0,,FALSE,Tue Dec 12 16:22:13 +0000 2017,5,9.40618E+17,neg
20,Twitter for iPhone,CRH/APAC is an important corporate citizen of our state. Receiving a Quality in Construction Award last year for th… https://t.co/6mS0Vx71g9,,FALSE,Wed Aug 01 18:08:09 +0000 2018,9,1.02472E+18,neg
4,Twitter Web Client,"LIVE: Governor’s Blue Ribbon Commission Announces Action Plan for Economic Competitiveness In Data Analytics, Compu… https://t.co/Ze6n6lBzhK",,FALSE,Thu Dec 21 19:31:56 +0000 2017,5,9.43927E+17,neg
12,Twitter for iPhone,"Talking tax cuts, economy and trade with @DavidWestin and @SheryAhnNews on @BloombergTV now.

Stream live at… https://t.co/5xQrhWC0T2",,FALSE,Mon Feb 05 18:30:18 +0000 2018,3,9.60581E+17,neg
119,Twitter Web Client,"Currently, 42 cabinet-level agencies report directly to me. Today, I announced my intention to reduce that number b… https://t.co/D1s6TeOolM",,FALSE,Thu Mar 15 18:01:52 +0000 2018,38,9.74345E+17,neg
207,Twitter Web Client,"I've ordered the U.S. &amp; Arkansas flags to fly at half-staff in memory of State Senator Greg Standridge, who passed… https://t.co/59GZTOVAvO",,FALSE,Thu Nov 16 23:21:13 +0000 2017,76,9.31301E+17,neg
22,Twitter Web Client,"If you live in Northwest Arkansas, don't miss tomorrow's town hall meeting to discuss state government transformati… https://t.co/Yrqm8kNXLe",,FALSE,Mon May 07 22:12:01 +0000 2018,8,9.93614E+17,neg
2,Twitter for iPhone,LIVE: Gov. Hutchinson speaks at the Tax Freedom Rally at the State Capitol &gt;&gt; https://t.co/PMJAO4SSRV #arleg #arpx,,FALSE,Fri Apr 13 18:30:27 +0000 2018,2,9.84861E+17,neg
373,Twitter for iPhone,I just spoke with @SecNielsen of @DHSgov. I informed the Trump Administration that the Arkansas National Guard will… https://t.co/8A27AdkQRi,,FALSE,Thu Apr 05 18:39:20 +0000 2018,165,9.81965E+17,neg
146,Twitter Web Client,Arkansas is proud to be among the first states in the nation to offer online vehicle registration. Arkansans can… https://t.co/83aMuoQwI2,,FALSE,Fri Mar 30 17:46:03 +0000 2018,48,9.79777E+17,neg
6,Twitter for iPhone,LIVE: Governor Hutchinson holds a news conference to make an announcement regarding school safety. https://t.co/PMJAO5atJt #arpx,,FALSE,Thu Mar 01 17:36:15 +0000 2018,3,9.69265E+17,neg
58,Twitter Web Client,"Because of the reduction in Medicaid enrollment, DHS is now projecting that it will spend roughly half a billion do… https://t.co/REH2V2G554",,FALSE,Thu Jan 04 20:24:19 +0000 2018,25,9.49014E+17,neg
145,Twitter for iPhone,Wishing you and your family a very merry Christmas. https://t.co/U4vxAiDXcO,,FALSE,Mon Dec 25 14:14:04 +0000 2017,10,9.45297E+17,neg
64,Twitter Web Client,"This morning, @PeaRidgeSD Superintendent Rick Neal &amp; I raced cars that Middle School students coded, and a robot es… https://t.co/l0Kx89Gyjq",,FALSE,Mon Sep 10 17:31:37 +0000 2018,11,1.0392E+18,neg
420,Twitter for iPhone,"Throughout history, church is respected as a place of refuge &amp; peace.  An attack in a church service is an evil act. #Sutherland Springs.",,FALSE,Mon Nov 06 00:16:21 +0000 2017,77,9.27329E+17,neg
37,Twitter Web Client,Blockchain technology is a valuable resource that we can utilize to support our state’s economy across many industr… https://t.co/Ili4gskfb1,,FALSE,Wed Jun 27 19:07:47 +0000 2018,15,1.01205E+18,neg
15,Twitter Web Client,"If you live near Jonesboro, don't miss tomorrow's town hall meeting to discuss transforming state government. I hop… https://t.co/CU5ydvyHmz",,FALSE,Mon Apr 30 20:16:23 +0000 2018,16,9.91049E+17,neg
38,Twitter Web Client,Poyen High School has done an exceptional job increasing their student enrollment in computer coding classes! I was… https://t.co/MrAK3xIfZB,,FALSE,Fri Apr 06 18:24:08 +0000 2018,11,9.82323E+17,neg
18,Twitter for iPhone,Today I kick off my Spring 2018 Computer Science Tour! This is my 6th tour of Arkansas schools. First stop: Heber S… https://t.co/jjI6O6AZgW,,FALSE,Fri Mar 30 18:42:58 +0000 2018,10,9.79791E+17,neg
142,Twitter for iPhone,It was five years ago today that my then 11 year old granddaughter Ella Beth created an app for my campaign that in… https://t.co/2ura9K4I1g,,FALSE,Sat Jul 21 15:14:52 +0000 2018,22,1.02069E+18,neg
29,Twitter Web Client,"After we cut the ribbon at Ozarks @CocaCola/@DrPepper Bottling Company in Lowell today, we raised a bottle of Coke… https://t.co/tWycfCijbG",,FALSE,Mon Sep 10 20:18:58 +0000 2018,12,1.03925E+18,neg
27,Twitter for iPhone,"PRADCO's roots grow deep in AR. Great to join business leaders in Ft Smith today to announce PRADCO's expansion, wh… https://t.co/7jv1UUEiXE",,FALSE,Sat Nov 18 00:04:25 +0000 2017,6,9.31674E+17,neg
8,Twitter Web Client,LIVE: Governor Hutchinson makes an announcement concerning child care assistance and early childhood education in A… https://t.co/OdCjUk5S09,,FALSE,Thu May 17 19:18:12 +0000 2018,2,9.97195E+17,neg
31,Twitter Web Client,"50 years to the day after the assassination of Martin Luther King, we gathered to honor the man who led a nonviolen… https://t.co/CJrfQw0fdL",,FALSE,Wed Apr 04 17:09:48 +0000 2018,6,9.8158E+17,neg
117,Twitter Web Client,"In case you missed the announcement this week, I unveiled my plan to cut the number of cabinet-level agencies from… https://t.co/QLBaQAFzMA",,FALSE,Fri Oct 05 21:46:40 +0000 2018,48,1.04833E+18,neg
434,Twitter for iPhone,Just spoke with Gov. Mike Parson of Missouri about the tragic loss of life in Branson from the boat incident.  I am… https://t.co/dLIGsMMyij,,FALSE,Fri Jul 20 13:45:38 +0000 2018,99,1.0203E+18,neg
69,Twitter Web Client,"The protesters came. They protested. They left—with the statue. And very few people even noticed.

Under Act 274 of… https://t.co/dw3sDeqG03",AsaHutchinson,FALSE,Fri Aug 24 20:39:22 +0000 2018,27,1.03309E+18,neg
0,Twitter for iPhone,@NWAHenry Any final report?,NWAHenry,FALSE,Wed Nov 22 03:52:42 +0000 2017,0,9.33181E+17,neg
96,Twitter for iPhone,What a treat to come back to the Apollo Theatre in Springdale where I cleaned at night as a teenager after everyone… https://t.co/J411zIwsQh,,FALSE,Tue Dec 19 01:31:14 +0000 2017,9,9.4293E+17,neg
111,Twitter Web Client,"Today, I unveiled my plan to reduce the number of cabinet-level agencies from 42 to 15. This historic &amp; comprehensi… https://t.co/za4eaj7Elf",,FALSE,Wed Oct 03 18:25:16 +0000 2018,38,1.04755E+18,neg
71,Twitter for iPhone,I just spoke with AJ Gary of ADEM (@AR_Emergencies) and received a report on flooding issues across the state. We a… https://t.co/TJbYOpSVMb,,FALSE,Sat Feb 24 15:58:38 +0000 2018,24,9.67429E+17,neg
26,Twitter Web Client,"The grand opening of @Glatfelter’s plant today is a boost for Fort Smith. The company, which makes specialty papers… https://t.co/2hGoN1M09C",,FALSE,Fri Jun 15 23:24:15 +0000 2018,5,1.00777E+18,neg
41,Twitter for iPhone,I’ll be on @CNN at around 4:45p CT with @wolfblitzer to discuss the midterm elections and the key races and issues… https://t.co/KtYD34GFAu,,FALSE,Sun Nov 04 22:41:03 +0000 2018,7,1.05921E+18,neg
120,Twitter Web Client,I'm delighted by the high level of interest &amp; demand for computer science teachers in AR’s elementary &amp; middle scho… https://t.co/U66pbOVneo,,FALSE,Wed Mar 28 18:29:44 +0000 2018,58,9.79063E+17,neg
113,Twitter for iPhone,I was delighted to host 26 teachers from 31 AR educational organizations today to discuss ways to improve education… https://t.co/V4FbiwIPTD,,FALSE,Fri Jun 08 21:08:38 +0000 2018,24,1.00519E+18,neg
13,Twitter Web Client,LIVE: Texarkana Regional Economic Development Committee Announcement with Arkansas Gov. @AsaHutchinson &amp; Texas… https://t.co/4vZFMBT0QQ,,FALSE,Tue Sep 04 20:05:33 +0000 2018,3,1.03707E+18,neg
35,Twitter Web Client,Consumer spending on travel in Arkansas has risen more than 32 percent in the last 5 yrs. Tourism is already Arkans… https://t.co/sW5O4sj18S,,FALSE,Mon Mar 12 19:12:29 +0000 2018,6,9.73276E+17,neg
